hour,num_comments
2024-11-01 06:00:00,556
2024-11-01 07:00:00,3907
2024-11-01 08:00:00,6543
2024-11-01 09:00:00,3996
2024-11-01 10:00:00,1992
2024-11-01 11:00:00,1329
2024-11-01 12:00:00,12443
2024-11-01 13:00:00,456
2024-11-01 14:00:00,2685
2024-11-01 15:00:00,1771
2024-11-01 16:00:00,3130
2024-11-01 17:00:00,2973
2024-11-01 18:00:00,523
2024-11-01 19:00:00,1993
2024-11-01 20:00:00,475
2024-11-01 21:00:00,521
2024-11-01 23:00:00,933
2024-11-02 00:00:00,35
2024-11-02 01:00:00,665
2024-11-02 04:00:00,644
2024-11-02 05:00:00,157
2024-11-02 06:00:00,848
2024-11-02 07:00:00,17594
2024-11-02 08:00:00,234
2024-11-02 09:00:00,6495
2024-11-02 10:00:00,1518
2024-11-02 11:00:00,65
2024-11-02 12:00:00,1928
2024-11-02 13:00:00,342
2024-11-02 14:00:00,2826
2024-11-02 15:00:00,629
2024-11-02 16:00:00,2288
2024-11-02 17:00:00,262
2024-11-02 18:00:00,65
2024-11-02 19:00:00,6298
2024-11-02 20:00:00,2967
2024-11-02 21:00:00,411
2024-11-02 22:00:00,966
2024-11-02 23:00:00,752
2024-11-03 00:00:00,357
2024-11-03 01:00:00,68
2024-11-03 03:00:00,221
2024-11-03 06:00:00,617
2024-11-03 07:00:00,3039
2024-11-03 08:00:00,19600
2024-11-03 09:00:00,3062
2024-11-03 10:00:00,661
2024-11-03 11:00:00,4620
2024-11-03 12:00:00,725
2024-11-03 13:00:00,1955
2024-11-03 14:00:00,773
2024-11-03 15:00:00,1451
2024-11-03 16:00:00,768
2024-11-03 17:00:00,1074
2024-11-03 18:00:00,1356
2024-11-03 21:00:00,2139
2024-11-03 22:00:00,333
2024-11-03 23:00:00,933
2024-11-04 01:00:00,511
2024-11-04 03:00:00,78
2024-11-04 04:00:00,4467
2024-11-04 05:00:00,51
2024-11-04 06:00:00,6836
2024-11-04 07:00:00,30119
2024-11-04 08:00:00,934
2024-11-04 09:00:00,3039
2024-11-04 10:00:00,721
2024-11-04 11:00:00,3418
2024-11-04 12:00:00,1512
2024-11-04 13:00:00,461
2024-11-04 14:00:00,5853
2024-11-04 15:00:00,3369
2024-11-04 16:00:00,3722
2024-11-04 17:00:00,942
2024-11-04 18:00:00,1812
2024-11-04 19:00:00,1167
2024-11-04 20:00:00,1131
2024-11-04 21:00:00,514
2024-11-04 22:00:00,496
2024-11-04 23:00:00,930
2024-11-05 02:00:00,96
2024-11-05 03:00:00,356
2024-11-05 05:00:00,21955
2024-11-05 06:00:00,3154
2024-11-05 07:00:00,1446
2024-11-05 08:00:00,1004
2024-11-05 09:00:00,7925
2024-11-05 10:00:00,1137
2024-11-05 11:00:00,1940
2024-11-05 12:00:00,7920
2024-11-05 13:00:00,18855
2024-11-05 14:00:00,32068
2024-11-05 15:00:00,2458
2024-11-05 16:00:00,365
2024-11-05 17:00:00,2988
2024-11-05 18:00:00,991
2024-11-05 19:00:00,107159
2024-11-05 20:00:00,6279
2024-11-05 21:00:00,24620
2024-11-05 22:00:00,83042
2024-11-06 00:00:00,4993
2024-11-06 01:00:00,42720
2024-11-06 05:00:00,59238
2024-11-06 06:00:00,3560
2024-11-06 07:00:00,6538
2024-11-06 08:00:00,11319
2024-11-06 09:00:00,6952
2024-11-06 10:00:00,18898
2024-11-06 11:00:00,4243
2024-11-06 12:00:00,22413
2024-11-06 13:00:00,5080
2024-11-06 14:00:00,6014
2024-11-06 15:00:00,5689
2024-11-06 16:00:00,1550
2024-11-06 17:00:00,19389
2024-11-06 18:00:00,1059
2024-11-06 19:00:00,3948
2024-11-06 20:00:00,1349
2024-11-06 21:00:00,753
2024-11-06 22:00:00,857
2024-11-07 05:00:00,288
2024-11-07 06:00:00,10256
2024-11-07 07:00:00,3254
2024-11-07 08:00:00,6274
2024-11-07 09:00:00,4041
2024-11-07 10:00:00,6014
2024-11-07 11:00:00,9834
2024-11-07 12:00:00,8117
2024-11-07 13:00:00,2661
2024-11-07 14:00:00,6114
2024-11-07 15:00:00,6007
2024-11-07 16:00:00,1860
2024-11-07 17:00:00,1801
2024-11-07 18:00:00,5172
2024-11-07 19:00:00,679
2024-11-07 21:00:00,2554
2024-11-07 22:00:00,1127
2024-11-07 23:00:00,850
2024-11-08 00:00:00,1966
2024-11-08 05:00:00,1118
2024-11-08 06:00:00,113
2024-11-08 07:00:00,10769
2024-11-08 08:00:00,4327
2024-11-08 09:00:00,901
2024-11-08 10:00:00,5189
2024-11-08 11:00:00,3815
